2021,联合
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
ブイン,5948,6055,5236,5599,6377,5678,5008,5795,5969,5911,6650,4919
タウイタウイ,5914,6491,5041,6534,6369,5912,4992,6295,5465,6154,6328,4774
パラオ,5691,6773,5564,6087,7070,6016,5134,5881,6266,7196,6645,5456
ブルネイ,5913,6434,5099,5767,6338,5432,5215,5931,6291,6171,6439,5003
単冠湾,6061,6562,5024,6352,6877,5815,4736,6332,5762,6032,6700,5449
幌筵,5650,6219,5462,5487,7187,6013,5231,5961,6452,6909,6763,5830
宿毛湾,5923,6394,5656,6299,6652,5572,5107,5858,5601,7159,6831,5786
鹿屋,5804,6708,5831,5672,7235,6101,5077,5625,5866,6265,5949,5643
岩川,6067,6533,5250,6240,7181,6178,5325,5916,6548,6693,6717,5769
佐伯湾,5917,6527,5387,6026,6563,5408,5133,6219,5630,6295,6169,5279
柱島,6910,7602,6678,7598,7804,7526,6690,6834,7386,7538,7358,6465
2020,2群
服务器,1月,2月,3月,4月,5月,6月,7月,8月,9月,10月,11月,12月
横須賀,4933,4859,4248,4526,4875,4589,3959,4552,4543,4292,4788,4232
呉,5061,5137,4420,4652,5381,4753,4202,4865,4753,4737,5051,4421
佐世保,4935,5178,4330,4449,5152,4657,4037,4700,4567,4608,4710,4149
舞鶴,5087,5256,4609,4828,5346,4797,4068,4786,4560,4672,5134,4203
大湊,4736,4683,3950,4166,4808,4274,3871,4465,4214,4141,4622,4015
トラック,4777,4705,4041,4288,4831,4398,3833,4417,4488,4222,4507,4026
リンガ,4797,4646,4036,4232,4857,4409,3835,4369,4255,4264,4465,3889
ラバウル,4834,4809,4171,4295,4669,4593,3916,4373,4371,4330,4572,4159
ショートランド,4832,4649,4055,4154,4808,4404,3837,4525,4290,4194,4589,4005
ブイン,4731,4533,3969,4174,4568,4262,3812,4255,4227,4065,4440,3904
タウイタウイ,4675,4667,3996,4171,4558,4373,3763,4334,4182,4061,4568,3928
パラオ,4701,4650,4086,4306,4802,4441,3824,4468,4317,4388,4663,3962
ブルネイ,4562,4627,3868,4115,4547,4269,3768,4257,4186,3942,4370,3981
単冠湾,4662,4709,4023,4203,4751,4308,3783,4335,4410,4181,4459,4092
幌筵,4605,4643,3912,4078,4678,4280,3758,4344,4298,4043,4438,3928
宿毛湾,4806,4628,3999,4207,4593,4337,3751,4303,4272,4187,4479,3973
鹿屋,4670,4621,4094,4325,4806,4428,3822,4294,4271,4133,4605,4070
岩川,4686,4524,3933,4240,4678,4255,3818,4345,4266,4183,4506,3995
佐伯湾,4702,4646,3970,4144,4576,4258,3762,4223,4246,4085,4297,3914
柱島,5537,5857,5134,5253,5866,5193,4350,5160,5187,5231,5222,4594
2020,3群
